pitch_no,game_no,pa_of_inning,pitch_of_pa,batter_side,pitcher_throws,outs,balls,strikes,k_or_bb,hit_type,play_result,pitch_call,tagged_pitch_type,rel_speed,spin_rate,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,strike_prob,exit_speed,angle,direction,distance,bearing
1039,12,4,4,Left,Right,2,2,1,Undefined,Undefined,Undefined,BallCalled,Fastball,93.79922458,2415.898238,1:15,5.640251194,2.912960171,5.916065364,-17.97105336,13.56301159,11.1208926,1.415823253,0.519471067,0.430048436,NULL,NULL,NULL,NULL,NULL
1040,12,4,5,Left,Right,2,3,1,Undefined,FlyBall,Out,InPlay,Fastball,94.69341786,2375.211411,1:30,5.666331808,2.73658202,6.407926487,-17.01611549,13.29374365,12.42959903,1.877787154,0.18171405,0.985631227,104.4887612,47.0626217,10.80181639,320.0863165,11.58901001
1041,13,1,1,Left,Right,0,0,0,Undefined,Undefined,Undefined,StrikeCalled,Fastball,94.41313173,2445.980899,1:15,5.906627162,2.784469628,5.59537215,-16.25516415,15.26997643,1.05E+01,2.462984699,-0.766388788,0.640979946,NULL,NULL,NULL,NULL,NULL
1042,13,1,2,Left,Right,0,0,1,Undefined,Undefined,Undefined,FoulBall,Fastball,93.68069197,2420.950882,1:15,5.811414656,2.800791927,6.147538761,-16.49747825,14.65578917,1.15E+01,3.189650043,-0.163085697,0.828421474,34.01827976,22.59343889,-175.9652421,54.48173037,-176.7529175
1043,13,1,3,Left,Right,0,0,2,Undefined,Undefined,Undefined,BallCalled,Fastball,94.99063531,2402.667531,1:30,5.863298184,2.879792815,5.503885603,-17.49893205,13.77587641,13.02470013,4.51E+00,0.106203017,5.01E-05,NULL,NULL,NULL,NULL,NULL
1044,13,1,4,Left,Right,0,1,2,Undefined,Undefined,Undefined,BallCalled,Fastball,93.23554181,2397.274702,1:30,5.845143035,2.778717876,6.191907616,-19.51416158,12.02060753,11.71107739,4.33E+00,-0.379450565,9.29E-05,NULL,NULL,NULL,NULL,NULL
1045,13,1,5,Left,Right,0,2,2,Undefined,Undefined,Undefined,BallCalled,ChangeUp,84.80468539,1605.89711,2:45,5.744118458,2.913909788,6.39415519,-35.64548318,2.283967292,16.99143253,-1.77E-01,-0.126843426,7.08E-05,NULL,NULL,NULL,NULL,NULL
1046,13,1,6,Left,Right,0,3,2,Undefined,Undefined,Undefined,FoulBall,Fastball,94.72404488,2335.48935,1:15,5.881391917,2.961099896,5.85832424,-19.60145989,11.5844342,9.96054456,2.40087329,-0.069238221,0.993482172,96.90049084,-21.25274788,56.09187112,7.935674798,39.36590472
1047,13,1,7,Left,Right,0,3,2,Undefined,GroundBall,Out,InPlay,Fastball,94.13268275,2362.804761,1:15,5.817873886,2.804677223,5.800899501,-19.31891342,12.20440752,10.51731783,2.96273576,0.77639872,0.814598501,100.2228268,-3.744828724,10.68587013,32.34257222,8.506368573
1048,13,2,1,Right,Right,1,0,0,Undefined,FlyBall,HomeRun,InPlay,Fastball,94.48139717,2479.401536,1:00,5.982296466,2.766844146,5.938544968,-14.16048825,16.8124849,9.979150359,3.011222876,1.3805793,0.000204409,102.0193774,33.65619021,-20.389899,411.43127,-22.90891904
